sim,tau_hat,running_mean_tau,running_bias,running_abs_bias,accepted_iteration_rate,accepted_row_update_rate,n_mcmc,k,beta,dataset_file
65,0.9117602338222636,1.0207863355203108,0.02078633552031084,0.02078633552031084,1.0,0.8552,500,2,1.0,datasets_sb01_10000.npz
66,1.1642265258209041,1.0229596717369867,0.022959671736986653,0.022959671736986653,1.0,0.8493333333333334,500,2,1.0,datasets_sb01_10000.npz
67,1.2054929314519904,1.0256840487476582,0.025684048747658172,0.025684048747658172,1.0,0.8316666666666667,500,2,1.0,datasets_sb01_10000.npz
68,1.0650400020322206,1.0262628127665487,0.026262812766548738,0.026262812766548738,1.0,0.8476,500,2,1.0,datasets_sb01_10000.npz
69,1.1014648515802985,1.027352697387038,0.02735269738703794,0.02735269738703794,1.0,0.8514666666666667,500,2,1.0,datasets_sb01_10000.npz
70,1.106677458692827,1.028485908262835,0.028485908262835036,0.028485908262835036,1.0,0.8411333333333333,500,2,1.0,datasets_sb01_10000.npz
71,0.7848521417582963,1.0250544467627711,0.025054446762771132,0.025054446762771132,1.0,0.8324666666666667,500,2,1.0,datasets_sb01_10000.npz
72,1.1389608452502749,1.0266364800750976,0.026636480075097557,0.026636480075097557,1.0,0.8364666666666667,500,2,1.0,datasets_sb01_10000.npz
73,0.6762599854791584,1.0218368020669342,0.02183680206693417,0.02183680206693417,1.0,0.8410666666666666,500,2,1.0,datasets_sb01_10000.npz
74,1.1166547169373706,1.023118125240859,0.02311812524085899,0.02311812524085899,1.0,0.8463333333333334,500,2,1.0,datasets_sb01_10000.npz
75,0.9032435923430091,1.0215197981355542,0.021519798135554158,0.021519798135554158,1.0,0.8388666666666666,500,2,1.0,datasets_sb01_10000.npz
76,1.0439670879402743,1.021815157211932,0.021815157211932057,0.021815157211932057,1.0,0.8523333333333334,500,2,1.0,datasets_sb01_10000.npz
77,0.9514625951032843,1.0209014875741573,0.02090148757415733,0.02090148757415733,1.0,0.8546,500,2,1.0,datasets_sb01_10000.npz
78,0.684350956825025,1.0165867371799377,0.01658673717993775,0.01658673717993775,1.0,0.8408,500,2,1.0,datasets_sb01_10000.npz
79,1.5635735872184862,1.023510621357641,0.023510621357641037,0.023510621357641037,1.0,0.8438666666666667,500,2,1.0,datasets_sb01_10000.npz
80,1.2086398731878982,1.0258247370055191,0.025824737005519127,0.025824737005519127,1.0,0.8426,500,2,1.0,datasets_sb01_10000.npz
81,1.3129890904562176,1.0293699759370092,0.029369975937009185,0.029369975937009185,1.0,0.8305333333333333,500,2,1.0,datasets_sb01_10000.npz
82,0.9818635714052161,1.02879062954028,0.02879062954028,0.02879062954028,1.0,0.856,500,2,1.0,datasets_sb01_10000.npz
83,1.182621892358013,1.0306440182489274,0.030644018248927374,0.030644018248927374,1.0,0.8471333333333333,500,2,1.0,datasets_sb01_10000.npz
84,0.9523240685844582,1.029711637895779,0.02971163789577891,0.02971163789577891,1.0,0.8596666666666667,500,2,1.0,datasets_sb01_10000.npz
85,1.0919424884533648,1.0304437655493977,0.03044376554939765,0.03044376554939765,1.0,0.854,500,2,1.0,datasets_sb01_10000.npz
86,1.0731919157230925,1.030940837063045,0.030940837063045068,0.030940837063045068,1.0,0.8488,500,2,1.0,datasets_sb01_10000.npz
87,1.0197768337005093,1.0308125151853147,0.030812515185314693,0.030812515185314693,1.0,0.8481333333333333,500,2,1.0,datasets_sb01_10000.npz
88,1.1778623892051032,1.0324835364809941,0.03248353648099411,0.03248353648099411,1.0,0.8361333333333333,500,2,1.0,datasets_sb01_10000.npz
89,0.6438230219209204,1.0281165644072856,0.028116564407285605,0.028116564407285605,1.0,0.853,500,2,1.0,datasets_sb01_10000.npz
90,1.315755416451104,1.0313125516522168,0.0313125516522168,0.0313125516522168,1.0,0.8331333333333333,500,2,1.0,datasets_sb01_10000.npz
91,1.0908640161337229,1.0319669633498156,0.031966963349815636,0.031966963349815636,1.0,0.8358666666666666,500,2,1.0,datasets_sb01_10000.npz
92,0.8101804782175124,1.0295562406853342,0.029556240685334245,0.029556240685334245,1.0,0.8401333333333333,500,2,1.0,datasets_sb01_10000.npz
93,1.467630708664083,1.0342667188356434,0.03426671883564336,0.03426671883564336,1.0,0.8279333333333333,500,2,1.0,datasets_sb01_10000.npz
94,0.8423018522737397,1.0322245394041338,0.032224539404133834,0.032224539404133834,1.0,0.8487333333333333,500,2,1.0,datasets_sb01_10000.npz
95,1.5468699600553355,1.037641859621515,0.037641859621514895,0.037641859621514895,1.0,0.845,500,2,1.0,datasets_sb01_10000.npz
96,0.9819839143275059,1.0370620893580356,0.037062089358035566,0.037062089358035566,1.0,0.859,500,2,1.0,datasets_sb01_10000.npz
97,1.3395307007740793,1.0401803224654174,0.04018032246541736,0.04018032246541736,1.0,0.8594,500,2,1.0,datasets_sb01_10000.npz
98,1.4924511590963891,1.044795331002468,0.04479533100246802,0.04479533100246802,1.0,0.8505333333333334,500,2,1.0,datasets_sb01_10000.npz
